mean,std,max_abs,zcr,rms,fundamental_freq,spectral_centroid,spectral_rolloff,spectral_flatness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,band_energy_0,band_energy_1,band_energy_2,band_energy_3,band_energy_4,band_energy_5,band_energy_6,band_energy_7,band_energy_8,band_energy_9,band_energy_10,band_energy_11,band_energy_12,label
7.301709388229938e-07,0.017639782279729843,0.14746543765068054,0.1001557849702381,0.017639780417084694,120.30075187969925,564.2485253768047,750.0,0.024411242455244064,-20.63981819152832,-18.769546508789062,-16.97496223449707,-18.454816818237305,-17.574485778808594,-18.174129486083984,-17.460004806518555,-17.521862030029297,-17.302757263183594,-17.52407455444336,-17.425392150878906,-18.29878044128418,-18.437955856323242,2.367926725810321e-07,2.750296914655337e-07,7.712494642930778e-09,1.1918515063769064e-09,1.0132515937399944e-09,1.9049932464820785e-10,2.44459952281062e-10,1.4096042388889174e-10,9.535197631471704e-11,1.2740850041659257e-10,1.0808228617653626e-10,1.2126893933483984e-10,3.039514820390998e-11,0
-6.637308251811191e-05,0.056006137281656265,0.47996458411216736,0.06039767795138889,0.05600617453455925,275.86206896551727,490.8117198127108,750.0,0.038860663771629333,-16.31287956237793,-12.201595306396484,-13.245108604431152,-14.07315731048584,-13.210286140441895,-14.093523979187012,-14.0233793258667,-14.723653793334961,-15.158638000488281,-14.87304973602295,-15.341431617736816,-15.638628959655762,-16.057411193847656,3.421711426199181e-06,1.5251684999384452e-06,2.0159006908215815e-07,2.1417907447585094e-08,1.2207088673221733e-08,1.3353173677899122e-08,1.2427530116099206e-08,3.4540361681933973e-09,2.3861026487992376e-09,1.5234853378842672e-09,2.814086519364878e-09,5.061213226298378e-09,1.7207341107550178e-09,0
-4.0429058572044596e-05,0.11371924728155136,0.7533189058303833,0.08365531589673914,0.11371925473213196,242.42424242424244,688.5652753517332,875.0,0.01650182344019413,-17.191822052001953,-15.105642318725586,-13.428422927856445,-14.128918647766113,-14.687222480773926,-14.113426208496094,-14.547454833984375,-13.656686782836914,-13.968565940856934,-14.619290351867676,-15.465178489685059,-15.546066284179688,-16.106521606445312,1.1495542821648996e-05,8.214420631702524e-06,1.3714167153011658e-06,4.6530962549695687e-07,2.3317157626934204e-07,4.93105858367926e-08,3.260868552956708e-08,5.6747158083680915e-09,2.353950590006093e-09,2.5033268791219143e-09,1.4073835430394865e-09,4.3362236024080403e-10,8.17294149024761e-11,0
-9.122335541178472e-06,0.008528259582817554,0.0872218981385231,0.12603610899390244,0.008528264239430428,100.62893081761007,662.8113956706683,687.5,0.12704358994960785,-21.036598205566406,-18.195215225219727,-17.556947708129883,-17.532928466796875,-18.156190872192383,-18.39107894897461,-18.368879318237305,-18.435253143310547,-18.952823638916016,-19.30645751953125,-19.64651870727539,-20.37845802307129,-20.670305252075195,9.014561186404535e-08,2.5655394253476516e-08,4.002969955507751e-09,6.037790822865929e-10,1.630910823058329e-10,1.3064789528005605e-10,8.346162649885969e-10,1.4036509732306968e-09,8.970152953757804e-10,5.318410156718301e-10,8.06266831077096e-10,6.469976221445961e-10,1.752505363050716e-10,0
-3.065958935621893e-06,0.05061837285757065,0.5318155288696289,0.11687846123417721,0.05061837285757065,228.57142857142858,837.5152734491335,1437.5,0.04528455436229706,-18.835018157958984,-17.361074447631836,-15.489442825317383,-14.5059232711792,-16.04605484008789,-15.402260780334473,-15.096230506896973,-15.185437202453613,-15.204865455627441,-15.361024856567383,-15.689895629882812,-15.704479217529297,-16.219274520874023,1.5143964446906466e-06,1.753770675350097e-06,7.482864248231635e-07,1.5968555544532137e-07,3.9909032523155474e-08,8.923742633726306e-09,5.256761248517705e-09,1.7358162684999456e-09,9.41422606537401e-10,1.4805471293399819e-09,2.080974059737173e-09,3.226284350787978e-09,9.452173488355697e-10,0
3.9682861824985594e-05,0.07849623262882233,0.48936429619789124,0.1574155745967742,0.07849624007940292,150.9433962264151,935.7365340605526,1062.5,0.1923595666885376,-18.063739776611328,-16.598859786987305,-15.621193885803223,-14.537806510925293,-14.541413307189941,-13.802201271057129,-14.318426132202148,-13.912904739379883,-14.847105026245117,-15.121429443359375,-15.602712631225586,-16.702550888061523,-16.997867584228516,6.048410796211101e-06,3.028314722541836e-06,3.246510118515289e-07,1.9772988935073954e-07,1.2669629256834014e-07,1.0235344660713963e-07,1.2909852387110732e-07,6.69541648790073e-08,1.6743034336741403e-07,8.85932323058114e-08,9.384896770825435e-08,9.99733629214461e-08,3.5012675425605266e-08,0
-2.826360650942661e-05,0.043929021805524826,0.4701681435108185,0.10590311062116564,0.043929025530815125,258.06451612903226,585.5759411080869,812.5,0.03189980238676071,-18.90031623840332,-17.63425636291504,-16.105560302734375,-15.227221488952637,-14.957653999328613,-16.39274787902832,-16.45993995666504,-16.134319305419922,-15.820435523986816,-16.215219497680664,-17.22443962097168,-17.692075729370117,-17.46515464782715,2.1289031337801134e-06,8.91332433639036e-07,1.4678191462280665e-07,1.0447224951803946e-07,2.5035095774228466e-08,6.3547762607640834e-09,2.3302508811440248e-09,9.029381131675507e-10,1.6262501345565283e-09,1.409529382101482e-09,1.086855938581266e-09,4.5156639538745935e-10,1.4687653870915085e-10,0
-1.2241246622579638e-05,0.04336227476596832,0.27256080508232117,0.0741436298076923,0.04336227476596832,111.8881118881119,259.6101577620826,375.0,0.011720430105924606,-18.087589263916016,-14.40414047241211,-13.659996032714844,-15.140591621398926,-15.285490036010742,-15.236604690551758,-15.74184513092041,-16.367448806762695,-17.271848678588867,-18.2011775970459,-18.494285583496094,-19.041902542114258,-19.375957489013672,3.179638497385895e-06,8.887440827720638e-08,4.465971592537699e-09,1.2467492593870588e-09,1.9798815920069046e-09,6.135534857953928e-10,8.418913899355118e-10,2.4051391989132753e-09,1.935370530503633e-09,1.2029643947641944e-09,7.89986354110539e-10,7.111250477365161e-10,2.946643207213384e-10,0
0.0014649347867816687,0.09092999994754791,0.86895352602005,0.12458274147727273,0.09094180166721344,202.53164556962025,829.3317501381455,1187.5,0.06241714581847191,-17.55202865600586,-14.893254280090332,-14.368979454040527,-13.631073951721191,-13.811860084533691,-14.779173851013184,-14.608437538146973,-13.89801025390625,-14.337418556213379,-14.497845649719238,-14.494083404541016,-14.82168960571289,-15.082602500915527,4.549728600977687e-06,6.893546924402472e-06,1.5970675804055645e-06,3.4025086392830417e-07,1.9321748823131202e-07,4.7480028797508567e-08,4.5459298547712024e-08,1.4790476399184627e-08,1.1742462113772945e-08,1.2196418097687456e-08,6.892603821029297e-09,5.397961633235582e-09,2.235465146327442e-09,0
-0.00017401855438947678,0.1269957423210144,0.8140202164649963,0.08430072623239436,0.12699587643146515,470.5882352941176,504.03194236089996,625.0,0.012524276040494442,-17.486528396606445,-15.403605461120605,-14.596142768859863,-14.006341934204102,-14.77625846862793,-14.444011688232422,-14.111764907836914,-14.032588005065918,-14.021894454956055,-14.650647163391113,-15.021413803100586,-15.969991683959961,-16.43532371520996,2.0771434719790705e-05,6.2785024965705816e-06,4.4951724476050003e-07,3.349725261614367e-07,6.501682037196588e-08,5.478518971813173e-09,5.771081390548716e-09,3.675715065654117e-09,6.633325888572017e-09,5.3900039986842785e-09,4.482358928470376e-09,2.5806390357985265e-09,6.994152479400384e-10,0
